Bruising (Acute vs Chronic vs Trauma),"ER, Internal Medicine, Hematology"
Minor Head Injury,"ER, Urgent Care, Neurology"
Sexually Transmitted Disease Exposure,"ER, Urgent Care"
Sexual Assault,"ER, Infectious Disease"
Urinary Symptoms - Acute,"Internal Medicine, Family Medicine, Urgent Care"
Urinary Symptoms - Female Chronic,"Obstetrics and Gynecology , Urology, Internal Medicine"
Urinary Symptoms - male Chronic ,"Urology, Internal Medicine"
Pregnant ,"Obstetrics and Gynecology , Internal Medicine, Family Medicine"
Pain (Acute vs Chronic),ER
Pediatric Dentistry,"Pediatric Dentistry , Dentist/ Oral Maxillofacial Surgeon"
Pediatric Anesthesiology,Pediatric Anesthesiology
Pediatric Cardiology,Pediatric Cardiology
Pediatric Critical Care Medicine,Pediatric Critical Care Medicine
Pediatric Emergency Medicine,Pediatric Emergency Medicine
Pediatric Endocrinology,Pediatric Endocrinology
Pediatric Gastroenterology,Pediatric Gastroenterology
Pediatric Hematology-Oncology,Pediatric Hematology-Oncology
Pediatric Infectious Diseases,Pediatric Infectious Diseases
Pediatric Nephrology,Pediatric Nephrology
Pediatric Orthopaedics,Pediatric Orthopaedics
Pediatric Otolaryngology,Pediatric Otolaryngology
Pediatric Pathology,Pediatric Pathology
Pediatric Pulmonology,Pediatric Pulmonology
Pediatric Radiology,Pediatric Radiology
Pediatric Rheumatology,Pediatric Rheumatology
Pediatric Sports Medicine,Pediatric Sports Medicine
Pediatric Surgery,Pediatric Surgery
Pediatric Transplant Hepatology,Pediatric Transplant Hepatology
Pediatric Urology,Pediatric Urology
Neonatal-Perinatal Medicine,Neonatal-Perinatal Medicine
Geriatrics,Geriatric Medicine
Need Identification,Social Services
Need Information About Medicaid,Social Services
Need Job Placement,Social Services
